#LETTER	NAME	ENABLED	REFONLY	NROLES	MASTER	VER	DESCRIPTION
D	macroparam	no	no	0	C	0	parameters inside macro definitions
L	label	no	no	0	C	0	goto labels
d	macro	yes	no	2	C	0	macro definitions
e	enumerator	yes	no	0	C	0	enumerators (values inside an enumeration)
f	function	yes	no	1	C	0	function definitions
g	enum	yes	no	0	C	0	enumeration names
h	header	yes	yes	2	C	0	included header files
l	local	no	no	0	C	0	local variables
m	member	yes	no	0	C	0	struct, and union members
p	prototype	no	no	0	C	0	function prototypes
s	struct	yes	no	1	C	0	structure names
t	typedef	yes	no	0	C	0	typedefs
u	union	yes	no	0	C	0	union names
v	variable	yes	no	0	C	0	variable definitions
x	externvar	no	no	0	C	0	external and forward variable declarations
z	parameter	no	no	0	C	0	function parameters inside function or prototype definitions
#LETTER	NAME	ENABLED	REFONLY	NROLES	MASTER	VER	DESCRIPTION
A	alias	no	no	0	NONE	0	namespace aliases
D	macroparam	no	no	0	C	0	parameters inside macro definitions
L	label	no	no	0	C	0	goto labels
M	module	yes	no	2	NONE	2	modules
N	name	no	no	0	NONE	0	names imported via using scope::symbol
P	partition	yes	no	1	NONE	2	partitions
U	using	no	no	0	NONE	0	using namespace statements
Z	tparam	no	no	0	NONE	0	template parameters
c	class	yes	no	0	NONE	0	classes
d	macro	yes	no	2	C	0	macro definitions
e	enumerator	yes	no	0	C	0	enumerators (values inside an enumeration)
f	function	yes	no	0	C	0	function definitions
g	enum	yes	no	0	C	0	enumeration names
h	header	yes	yes	4	C	0	included header files
l	local	no	no	0	C	0	local variables
m	member	yes	no	0	C	0	class, struct, and union members
n	namespace	yes	no	0	NONE	0	namespaces
p	prototype	no	no	0	C	0	function prototypes
s	struct	yes	no	0	C	0	structure names
t	typedef	yes	no	0	C	0	typedefs
u	union	yes	no	0	C	0	union names
v	variable	yes	no	0	C	0	variable definitions
x	externvar	no	no	0	C	0	external and forward variable declarations
z	parameter	no	no	0	C	0	function parameters inside function or prototype definitions
