
# echo unknown lang

# no kind spec

# echo unknown kind letter

# echo unknown kind name

# wrong char in a kind letter

# wrong kind name

# empty role name

# wrong char in role name

# empty description

# role is acceptable but no input file

# listing with --list-roles
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  foos on        0 foods
v/variable  role on        0 roles

# listing with --list-kinds-full
#LETTER NAME     ENABLED REFONLY NROLES MASTER VER DESCRIPTION
v       variable yes     no      1      NONE     0 variables
#LETTER NAME     ENABLED REFONLY NROLES MASTER VER DESCRIPTION
v       variable yes     no      2      NONE     0 variables

# inject a flag separator
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles

# inject a broken flag separator(1)
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles

# inject a broken flag separator(2)
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles

# use a { in description (1)
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles{
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles{

# use a { in description (2)
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles{}
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles{}

# use a \ in description
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles\backslash
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 roles\backslash

# description started from {

# description started from \{
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 {
#KIND(L/N)  NAME ENABLED VER DESCRIPTION
v/variable  role on        0 {

# too many roles
